feature,target,score_ind,score_rd,score_full,varExp_ofFull,varExp_ofRd,feat_idx,feat_gene,feat_source,Class
ALG6 (29929) [CERES],ACACA,0.03858,0.3499,0.0524,0.73626,0.11026,9,ALG6,CERES,0
ALG6 (29929) [CERES],DHRSX,0.17736,0.17342,0.02831,6.26492,1.02272,1,ALG6,CERES,0
KCNE2 (9992) [CERES],ACACA,-0.09676,0.3499,0.0524,-1.84656,-0.27654,10,KCNE2,CERES,0
ACSS1 (ENSG00000154930) [RNA-seq],ACLY,0.13973,0.39931,0.07137,1.95783,0.34993,3,ACSS1,RNA-seq,0
AP2M1 (1173) [CERES],ACLY,-0.12982,0.39931,0.07137,-1.81897,-0.32511,4,AP2M1,CERES,2
AP2M1 (1173) [CERES],AP2S1,0.56547,0.61231,0.07486,7.5537,0.9235,1,AP2M1,CERES,2
AP2M1 (1173) [CERES],FCHO2,0.26214,0.47737,0.08265,3.1716900000000003,0.54913,2,AP2M1,CERES,2
AP2M1 (1173) [CERES],FDPS,-0.1476,0.47367,0.07217,-2.04517,-0.31161,3,AP2M1,CERES,2
AP2M1 (1173) [CERES],PPP6C,0.05921000000000001,0.47088,0.10581,0.5595899999999999,0.12574000000000002,4,AP2M1,CERES,2
AP2M1 (1173) [CERES],TFRC,0.45779,0.68674,0.1377,3.32455,0.66661,1,AP2M1,CERES,2
MBTPS1 (8720) [CERES],ACLY,-0.11801,0.39931,0.07137,-1.6535,-0.29553,5,MBTPS1,CERES,0
MBTPS1 (8720) [CERES],EMC1,-0.05189,0.5827600000000001,0.0496,-1.04617,-0.08904,8,MBTPS1,CERES,0
MBTPS1 (8720) [CERES],EMC3,0.0519,0.6009899999999999,0.06672,0.77788,0.08636,10,MBTPS1,CERES,0
MBTPS1 (8720) [CERES],MBTPS2,0.38596,0.45193,0.05966000000000001,6.46933,0.85403,1,MBTPS1,CERES,0
MBTPS1 (8720) [CERES],SCAP,0.57352,0.67416,0.0542,10.58155,0.85072,1,MBTPS1,CERES,0
MBTPS1 (8720) [CERES],SCD,0.34967,0.65292,0.11816,2.95929,0.53555,1,MBTPS1,CERES,0
MBTPS1 (8720) [CERES],SREBF1,0.16483,0.45368,0.01361,12.11095,0.36332,6,MBTPS1,CERES,0
BICC1 (ENSG00000122870) [RNA-seq],ACLY,-0.1955,0.39931,0.07137,-2.73925,-0.48959,6,BICC1,RNA-seq,0
BICC1 (ENSG00000122870) [RNA-seq],HNF1B,0.39502,0.70119,0.15499000000000002,2.54868,0.5633600000000001,4,BICC1,RNA-seq,0
MMGT1 (93380) [CERES],ACLY,-0.08607999999999999,0.39931,0.07137,-1.20611,-0.21557,7,MMGT1,CERES,0
MMGT1 (93380) [CERES],CCDC115,-0.02333,0.43115,0.06177000000000001,-0.37769,-0.054110000000000005,8,MMGT1,CERES,0
MMGT1 (93380) [CERES],CYB5B,-0.27764,0.52765,0.07351,-3.7769,-0.52618,4,MMGT1,CERES,0
MMGT1 (93380) [CERES],EMC1,0.40347,0.5827600000000001,0.0496,8.13448,0.69234,4,MMGT1,CERES,0
MMGT1 (93380) [CERES],EMC3,0.37052,0.6009899999999999,0.06672,5.55336,0.61652,2,MMGT1,CERES,0
MMGT1 (93380) [CERES],EMC6,0.50651,0.62522,0.10786,4.69599,0.81013,1,MMGT1,CERES,0
MMGT1 (93380) [CERES],EMC7,0.39939,0.66537,0.06777999999999999,5.89245,0.60025,6,MMGT1,CERES,0
MMGT1 (93380) [CERES],MBTPS1,-0.05013,0.65558,-0.0012,41.775,-0.07647000000000001,8,MMGT1,CERES,0
PSMB10 (5699) [CERES],ACLY,-0.0964,0.39931,0.07137,-1.35071,-0.24142,8,PSMB10,CERES,0
ACACA (31) [CERES],ACLY,0.11794,0.39931,0.07137,1.65252,0.29536,9,ACACA,CERES,0
ACACA (31) [CERES],FASN,0.36132,0.58758,0.13105,2.75712,0.61493,1,ACACA,CERES,0
ACACA (31) [CERES],HSD17B12,0.00817,0.13682,0.03668,0.22274,0.05971,3,ACACA,CERES,0
ACACA (31) [CERES],PTDSS1,-0.16317,0.13769,0.07579,-2.15292,-1.18505,10,ACACA,CERES,0
USP32 (84669) [CERES],ACLY,-0.17984,0.39931,0.07137,-2.51983,-0.45038,10,USP32,CERES,0
USP32 (84669) [CERES],RAF1,-0.09305,0.37042,-0.03661,2.54166,-0.2512,7,USP32,CERES,0
ADSL (158) [CERES],ACO2,0.1723,0.39965,0.11507,1.49735,0.43113,1,ADSL,CERES,2
ADSL (158) [CERES],ADSS,0.43295,0.45323,0.12466,3.47305,0.95525,1,ADSL,CERES,2
ADSL (158) [CERES],AMD1,0.12237,0.30185,0.01522,8.04008,0.4054,5,ADSL,CERES,2
ADSL (158) [CERES],AP2M1,0.12394,0.64002,0.07529,1.64617,0.19365,10,ADSL,CERES,2
ADSL (158) [CERES],ATIC,0.44338,0.81937,0.09252,4.79226,0.5411199999999999,2,ADSL,CERES,2
ADSL (158) [CERES],ATP1A1,0.12707000000000002,0.46052,0.09481,1.34026,0.27593,5,ADSL,CERES,2
ADSL (158) [CERES],CAD,0.3672,0.7146399999999999,0.15177000000000002,2.41945,0.51383,6,ADSL,CERES,2
ADSL (158) [CERES],CTPS1,0.30237,0.49722,0.1311,2.30641,0.60812,7,ADSL,CERES,2
ADSL (158) [CERES],DHFR,0.39902,0.7531100000000001,0.13189,3.0254,0.52983,8,ADSL,CERES,2
ADSL (158) [CERES],DHODH,0.30505,0.66809,0.13376,2.28058,0.4566,7,ADSL,CERES,2
ADSL (158) [CERES],GART,0.38886,0.76775,0.12437,3.12664,0.50649,5,ADSL,CERES,2
ADSL (158) [CERES],GMPS,0.56302,0.7178399999999999,0.10077,5.58718,0.78433,3,ADSL,CERES,2
ADSL (158) [CERES],IMPDH2,0.32202,0.4841,0.06161000000000001,5.22675,0.66519,6,ADSL,CERES,2
ADSL (158) [CERES],IPPK,0.12753,0.4326100000000001,0.13687,0.93176,0.29479,6,ADSL,CERES,2
ADSL (158) [CERES],MAT2A,0.13926,0.40447,0.07728,1.80202,0.3443,6,ADSL,CERES,2
ADSL (158) [CERES],MTHFD1,0.46505,0.73032,0.1385,3.35776,0.63678,8,ADSL,CERES,2
ADSL (158) [CERES],MVD,0.29007,0.3764,0.04039,7.18173,0.77064,6,ADSL,CERES,2
ADSL (158) [CERES],NAMPT,0.35997,0.52208,0.12488,2.88253,0.6894899999999999,4,ADSL,CERES,2
ADSL (158) [CERES],OGDH,0.19949,0.55062,0.1975,1.01008,0.3623,10,ADSL,CERES,2
ADSL (158) [CERES],PAICS,0.52913,0.75788,0.11876,4.45546,0.69817,7,ADSL,CERES,2
ADSL (158) [CERES],PFAS,0.25336,0.59987,0.15793,1.60426,0.42236,7,ADSL,CERES,2
ADSL (158) [CERES],PGD,0.20488,0.5818300000000001,0.11179,1.83272,0.35213,6,ADSL,CERES,2
ADSL (158) [CERES],PGM3,0.13557,0.63368,0.14774,0.91763,0.21394,3,ADSL,CERES,2
ADSL (158) [CERES],PPAT,0.5704,0.7611,0.08188,6.966289999999999,0.74944,5,ADSL,CERES,2
ADSL (158) [CERES],PPCDC,0.23205,0.5754,0.20919,1.1092799999999998,0.40328,9,ADSL,CERES,2
ADSL (158) [CERES],RFK,0.18042,0.36462,0.09223,1.9562,0.49482,5,ADSL,CERES,2
ADSL (158) [CERES],RPIA,0.29573,0.57194,0.05043,5.86417,0.5170600000000001,2,ADSL,CERES,2
ADSL (158) [CERES],SDHA,0.21658,0.5294399999999999,0.13412000000000002,1.61482,0.40907,3,ADSL,CERES,2
ADSL (158) [CERES],SDHB,0.20112,0.69892,0.21594,0.93137,0.28776,5,ADSL,CERES,2
ADSL (158) [CERES],TFRC,0.302,0.68674,0.1377,2.1931700000000003,0.43976,3,ADSL,CERES,2
ADSL (158) [CERES],TKT,0.04337,0.59735,0.02669,1.62495,0.0726,4,ADSL,CERES,2
ADSL (158) [CERES],TMX2,0.22051,0.2901,0.030080000000000006,7.33078,0.76012,6,ADSL,CERES,2
ADSL (158) [CERES],UMPS,0.33002,0.74942,0.15984,2.06469,0.44037,9,ADSL,CERES,2
ADSL (158) [CERES],UROD,0.07117000000000001,0.39256,0.19215,0.37039,0.1813,6,ADSL,CERES,2
ADSL (158) [CERES],UXS1,-0.21577,0.16945,0.08426,-2.56076,-1.27335,2,ADSL,CERES,2
IDH3A (3419) [CERES],ACO2,0.07814,0.39965,0.11507,0.67906,0.19552,2,IDH3A,CERES,2
SOD2 (6648) [CERES],ACO2,0.14998,0.39965,0.11507,1.30338,0.37528,3,SOD2,CERES,3
GMPS (8833) [CERES],ACO2,0.15317999999999998,0.39965,0.11507,1.33119,0.38329,4,GMPS,CERES,2
GMPS (8833) [CERES],ADSL,0.51886,0.69412,0.14175,3.66039,0.74751,6,GMPS,CERES,2
GMPS (8833) [CERES],ADSS,0.31952,0.45323,0.12466,2.56313,0.70498,6,GMPS,CERES,2
GMPS (8833) [CERES],AMD1,0.16915999999999998,0.30185,0.01522,11.11432,0.5604100000000001,3,GMPS,CERES,2
GMPS (8833) [CERES],ATP1A1,0.11855,0.46052,0.09481,1.2504,0.25743,2,GMPS,CERES,2
GMPS (8833) [CERES],CAD,0.27207,0.7146399999999999,0.15177000000000002,1.79265,0.38071,7,GMPS,CERES,2
GMPS (8833) [CERES],CTPS1,0.28679,0.49722,0.1311,2.18757,0.5767899999999999,4,GMPS,CERES,2
GMPS (8833) [CERES],DHFR,0.1706,0.7531100000000001,0.13189,1.2935,0.22653,7,GMPS,CERES,2
GMPS (8833) [CERES],DTYMK,0.30549,0.56058,0.10741,2.84415,0.54495,5,GMPS,CERES,2
GMPS (8833) [CERES],GART,0.25996,0.76775,0.12437,2.09021,0.3386,7,GMPS,CERES,2
GMPS (8833) [CERES],GFPT1,0.26578,0.54305,0.13833,1.92135,0.48942,10,GMPS,CERES,2
GMPS (8833) [CERES],IDH3A,0.01813,0.21982,0.09004,0.20135,0.08248,9,GMPS,CERES,2
GMPS (8833) [CERES],IMPDH2,0.30892,0.4841,0.06161000000000001,5.01412,0.63813,1,GMPS,CERES,2
GMPS (8833) [CERES],MAT2A,0.23702,0.40447,0.07728,3.06703,0.586,1,GMPS,CERES,2
GMPS (8833) [CERES],MVD,0.11437,0.3764,0.04039,2.83164,0.30385,7,GMPS,CERES,2
GMPS (8833) [CERES],MVK,0.15375,0.38766,0.02444,6.29092,0.39661,10,GMPS,CERES,2
GMPS (8833) [CERES],PAICS,0.4260600000000001,0.75788,0.11876,3.58757,0.56217,9,GMPS,CERES,2
GMPS (8833) [CERES],PGD,0.22334,0.5818300000000001,0.11179,1.99785,0.38386,4,GMPS,CERES,2
GMPS (8833) [CERES],PGM3,0.10442,0.63368,0.14774,0.70678,0.16477999999999998,4,GMPS,CERES,2
GMPS (8833) [CERES],RFK,0.12525999999999998,0.36462,0.09223,1.3581299999999998,0.34354,8,GMPS,CERES,2
GMPS (8833) [CERES],RPIA,0.34041,0.57194,0.05043,6.75015,0.59518,1,GMPS,CERES,2
GMPS (8833) [CERES],SDHA,0.26271,0.5294399999999999,0.13412000000000002,1.95877,0.4962,7,GMPS,CERES,2
GMPS (8833) [CERES],SLC4A7,0.04119,0.39609,0.10852,0.37956,0.10399,4,GMPS,CERES,2
GMPS (8833) [CERES],SLC7A1,0.05259,0.37556,0.05475,0.96055,0.14003,5,GMPS,CERES,2
GMPS (8833) [CERES],SLC7A5,0.0973,0.35556,0.05991000000000001,1.6241,0.27365,4,GMPS,CERES,2
GMPS (8833) [CERES],TFRC,0.35153,0.68674,0.1377,2.55287,0.51188,5,GMPS,CERES,2
GMPS (8833) [CERES],TMX2,0.21137,0.2901,0.030080000000000006,7.02693,0.7286100000000001,4,GMPS,CERES,2
GMPS (8833) [CERES],TYMS,-0.01412,0.5334399999999999,0.05748,-0.24565,-0.02647,7,GMPS,CERES,2
GMPS (8833) [CERES],UMPS,0.26032,0.74942,0.15984,1.62863,0.34736,10,GMPS,CERES,2
GMPS (8833) [CERES],UROD,0.12978,0.39256,0.19215,0.6754100000000001,0.3306,9,GMPS,CERES,2
GMPS (8833) [CERES],YRDC,0.34382,0.58562,0.13075,2.6296,0.5871,4,GMPS,CERES,2
TFRC (7037) [CERES],ACO2,0.19405,0.39965,0.11507,1.68636,0.48555,5,TFRC,CERES,2
TFRC (7037) [CERES],ADSS,0.2628,0.45323,0.12466,2.10813,0.5798399999999999,9,TFRC,CERES,2
TFRC (7037) [CERES],AP2M1,0.45029,0.64002,0.07529,5.98074,0.7035600000000001,2,TFRC,CERES,2
TFRC (7037) [CERES],AP2S1,0.31858000000000003,0.61231,0.07486,4.25568,0.5202899999999999,2,TFRC,CERES,2
TFRC (7037) [CERES],DTYMK,0.26145,0.56058,0.10741,2.43413,0.46639,7,TFRC,CERES,2
TFRC (7037) [CERES],EMC6,-0.09723,0.62522,0.10786,-0.90145,-0.15550999999999998,10,TFRC,CERES,2
TFRC (7037) [CERES],EMC7,-0.06727000000000001,0.66537,0.06777999999999999,-0.99248,-0.1011,9,TFRC,CERES,2
TFRC (7037) [CERES],FDPS,-0.32031,0.47367,0.07217,-4.438269999999998,-0.67623,2,TFRC,CERES,2
TFRC (7037) [CERES],GFPT1,0.13243,0.54305,0.13833,0.95735,0.24386,4,TFRC,CERES,2
TFRC (7037) [CERES],GMPS,0.37762,0.7178399999999999,0.10077,3.74735,0.52605,6,TFRC,CERES,2
TFRC (7037) [CERES],MAT2A,0.20749,0.40447,0.07728,2.68491,0.51299,7,TFRC,CERES,2
TFRC (7037) [CERES],MMGT1,-0.08959,0.61659,0.15261,-0.58705,-0.1453,9,TFRC,CERES,2
TFRC (7037) [CERES],MTHFD1,0.29842,0.73032,0.1385,2.15466,0.40862,10,TFRC,CERES,2
TFRC (7037) [CERES],MVD,0.16194,0.3764,0.04039,4.00941,0.43023,2,TFRC,CERES,2
TFRC (7037) [CERES],MVK,0.12857000000000002,0.38766,0.02444,5.26064,0.33166,7,TFRC,CERES,2
TFRC (7037) [CERES],OGDH,0.12485999999999997,0.55062,0.1975,0.6322,0.22676,2,TFRC,CERES,2
TFRC (7037) [CERES],PGD,0.2424,0.5818300000000001,0.11179,2.16835,0.41662,10,TFRC,CERES,2
TFRC (7037) [CERES],PMVK,0.12316,0.5079899999999999,0.0928,1.32716,0.24245,8,TFRC,CERES,2
TFRC (7037) [CERES],SDHA,0.23768000000000006,0.5294399999999999,0.13412000000000002,1.77214,0.44893,10,TFRC,CERES,2
TFRC (7037) [CERES],UROD,-0.08345,0.39256,0.19215,-0.4343,-0.21258,10,TFRC,CERES,2
TFRC (7037) [CERES],WDR7,0.17207,0.39407,0.11897,1.44633,0.43665,6,TFRC,CERES,2
TFRC (7037) [CERES],YRDC,0.45272,0.58562,0.13075,3.4624900000000003,0.7730600000000001,1,TFRC,CERES,2
SDHA (6389) [CERES],ACO2,0.01645,0.39965,0.11507,0.14296,0.04116,6,SDHA,CERES,2
SDHA (6389) [CERES],AMD1,0.07605,0.30185,0.01522,4.99671,0.25195,8,SDHA,CERES,2
SDHA (6389) [CERES],CAD,0.20714,0.7146399999999999,0.15177000000000002,1.36483,0.28985,10,SDHA,CERES,2
SDHA (6389) [CERES],FDPS,0.02528,0.47367,0.07217,0.35028000000000004,0.053370000000000015,5,SDHA,CERES,2
SDHA (6389) [CERES],IPPK,0.15127000000000002,0.4326100000000001,0.13687,1.10521,0.34967,5,SDHA,CERES,2
SDHA (6389) [CERES],MVK,0.018009999999999998,0.38766,0.02444,0.7369100000000001,0.04646,9,SDHA,CERES,2
SDHA (6389) [CERES],PFAS,0.07399,0.59987,0.15793,0.4685,0.12334,8,SDHA,CERES,2
SDHA (6389) [CERES],SDHB,0.4405,0.69892,0.21594,2.03992,0.63026,1,SDHA,CERES,2
ELL2 (ENSG00000118985) [RNA-seq],ACO2,-0.07142000000000001,0.39965,0.11507,-0.6206699999999999,-0.17870999999999998,7,ELL2,RNA-seq,4
ELL2 (ENSG00000118985) [RNA-seq],ELL,0.0909,0.25501,0.09579,0.94895,0.35646,3,ELL2,RNA-seq,4
ADAM12 (ENSG00000148848) [RNA-seq],ACO2,0.01815,0.39965,0.11507,0.15773,0.04541,8,ADAM12,RNA-seq,5
ADAM12 (ENSG00000148848) [RNA-seq],PRKAR1A,0.07719,0.19157,0.26446,0.29188000000000003,0.40293,3,ADAM12,RNA-seq,5
ATIC (471) [CERES],ACO2,0.11612,0.39965,0.11507,1.00912,0.29055,9,ATIC,CERES,2
ATIC (471) [CERES],ADSL,0.44513,0.69412,0.14175,3.14025,0.6412899999999999,2,ATIC,CERES,2
ATIC (471) [CERES],ADSS,0.36121,0.45323,0.12466,2.89756,0.79697,2,ATIC,CERES,2
ATIC (471) [CERES],AP2M1,0.08227000000000001,0.64002,0.07529,1.09271,0.12854000000000002,8,ATIC,CERES,2
ATIC (471) [CERES],AP2S1,0.00903,0.61231,0.07486,0.12063,0.01475,8,ATIC,CERES,2
ATIC (471) [CERES],CAD,0.32217,0.7146399999999999,0.15177000000000002,2.12275,0.45081,9,ATIC,CERES,2
ATIC (471) [CERES],CTPS1,0.30395,0.49722,0.1311,2.31846,0.6113,9,ATIC,CERES,2
ATIC (471) [CERES],DHODH,0.4647,0.66809,0.13376,3.47413,0.6955600000000001,3,ATIC,CERES,2
ATIC (471) [CERES],GART,0.59304,0.76775,0.12437,4.76835,0.77244,8,ATIC,CERES,2
ATIC (471) [CERES],GMPS,0.3604,0.7178399999999999,0.10077,3.57646,0.5020600000000001,1,ATIC,CERES,2
ATIC (471) [CERES],IMPDH2,0.30071,0.4841,0.06161000000000001,4.88086,0.62117,5,ATIC,CERES,2
ATIC (471) [CERES],IPPK,-0.04091,0.4326100000000001,0.13687,-0.2989,-0.09457,7,ATIC,CERES,2
ATIC (471) [CERES],MTHFD1,0.66801,0.73032,0.1385,4.823180000000002,0.91468,4,ATIC,CERES,2
ATIC (471) [CERES],NAMPT,0.22321,0.52208,0.12488,1.7874,0.42754,1,ATIC,CERES,2
ATIC (471) [CERES],NMNAT1,-0.00165,0.33372,0.1768,-0.00933,-0.00494,10,ATIC,CERES,2
ATIC (471) [CERES],PAICS,0.64435,0.75788,0.11876,5.42565,0.8502,1,ATIC,CERES,2
ATIC (471) [CERES],PFAS,0.5075,0.59987,0.15793,3.21345,0.8460200000000001,3,ATIC,CERES,2
ATIC (471) [CERES],PPAT,0.66742,0.7611,0.08188,8.1512,0.8769100000000001,9,ATIC,CERES,2
ATIC (471) [CERES],PPCDC,0.19476,0.5754,0.20919,0.93102,0.33848,3,ATIC,CERES,2
ATIC (471) [CERES],SDHA,0.02576,0.5294399999999999,0.13412000000000002,0.19207,0.04866,8,ATIC,CERES,2
ATIC (471) [CERES],SDHB,0.19338,0.69892,0.21594,0.8955299999999999,0.27668000000000004,9,ATIC,CERES,2
ATIC (471) [CERES],SLC4A7,0.2256,0.39609,0.10852,2.07888,0.56957,1,ATIC,CERES,2
ATIC (471) [CERES],SLC7A1,-0.00603,0.37556,0.05475,-0.11014000000000003,-0.016059999999999998,10,ATIC,CERES,2
ATIC (471) [CERES],UMPS,0.4928300000000001,0.74942,0.15984,3.08327,0.65762,5,ATIC,CERES,2
PLOD2 (ENSG00000152952) [RNA-seq],ACO2,0.12358,0.39965,0.11507,1.07395,0.30922,10,PLOD2,RNA-seq,2
ACSL1 (ENSG00000151726) [RNA-seq],ACSL3,0.09021,0.11992,0.0711,1.26878,0.75225,1,ACSL1,RNA-seq,0
LINC01776 (ENSG00000226053) [RNA-seq],ACSL3,-0.18154,0.11992,0.0711,-2.55331,-1.51384,2,LINC01776,RNA-seq,0
TMEM41A (90407) [CERES],ACSL3,-0.26587,0.11992,0.0711,-3.73938,-2.21706,3,TMEM41A,CERES,0
TMEM41A (90407) [CERES],CYB5B,-0.04026,0.52765,0.07351,-0.5476800000000001,-0.0763,9,TMEM41A,CERES,0
TMEM41A (90407) [CERES],SCD,0.02576,0.65292,0.11816,0.21801,0.03945,6,TMEM41A,CERES,0
TMEM41A (90407) [CERES],SREBF1,0.11901,0.45368,0.01361,8.74431,0.26232,3,TMEM41A,CERES,0
MBTPS2 (51360) [CERES],ACSL3,-0.23438,0.11992,0.0711,-3.2964800000000003,-1.95447,4,MBTPS2,CERES,0
MBTPS2 (51360) [CERES],CYB5B,0.01652,0.52765,0.07351,0.22473,0.031310000000000004,5,MBTPS2,CERES,0
MBTPS2 (51360) [CERES],HSD17B12,-0.12727,0.13682,0.03668,-3.4697400000000003,-0.9302,1,MBTPS2,CERES,0
MBTPS2 (51360) [CERES],MBTPS1,0.33612,0.65558,-0.0012,-280.1,0.51271,1,MBTPS2,CERES,0
MBTPS2 (51360) [CERES],SCAP,0.36503,0.67416,0.0542,6.73487,0.54146,3,MBTPS2,CERES,0
MBTPS2 (51360) [CERES],SCD,0.17232999999999998,0.65292,0.11816,1.45845,0.26394,5,MBTPS2,CERES,0
MBTPS2 (51360) [CERES],SREBF1,0.17438,0.45368,0.01361,12.81264,0.38437,7,MBTPS2,CERES,0
RNASEH2C (84153) [CERES],ACSL3,-0.53284,0.11992,0.0711,-7.49423,-4.4433,5,RNASEH2C,CERES,6
RNASEH2C (84153) [CERES],ACTR1A,-0.08599,0.21392,0.03843,-2.2375700000000003,-0.40197,6,RNASEH2C,CERES,6
RNASEH2C (84153) [CERES],METTL1,0.02434,0.46125,0.03425,0.7106600000000001,0.05277,9,RNASEH2C,CERES,6
RNASEH2C (84153) [CERES],OXSM,0.013,0.4789600000000001,0.05703,0.22795,0.02714,10,RNASEH2C,CERES,6
RNASEH2C (84153) [CERES],POLE3,-0.08236,0.5425300000000001,0.00298,-27.63758,-0.15181,5,RNASEH2C,CERES,6
RNASEH2C (84153) [CERES],RAD9A,0.04333,0.52981,0.0236,1.83602,0.08177999999999999,5,RNASEH2C,CERES,6
AC008738.3 (ENSG00000267580) [RNA-seq],ACSL3,-0.11858,0.11992,0.0711,-1.66779,-0.98883,6,AC008738.3,RNA-seq,7
AC008738.3 (ENSG00000267580) [RNA-seq],EGLN1,-0.0004,0.38797,0.09728,-0.00411,-0.00103,3,AC008738.3,RNA-seq,7
ANXA5 (ENSG00000164111) [RNA-seq],ACSL3,-0.47212,0.11992,0.0711,-6.64023,-3.93696,7,ANXA5,RNA-seq,0
SRF (6722) [CERES],ACSL3,-0.1347,0.11992,0.0711,-1.89451,-1.12325,8,SRF,CERES,0
LOXL2 (ENSG00000134013) [RNA-seq],ACSL3,-0.5699,0.11992,0.0711,-8.01547,-4.7523300000000015,9,LOXL2,RNA-seq,0
LOXL2 (ENSG00000134013) [RNA-seq],JUN,0.09867,0.39152,0.18984,0.51975,0.25202,10,LOXL2,RNA-seq,0
LOXL2 (ENSG00000134013) [RNA-seq],NMT1,0.07139,0.30286,0.13093,0.54525,0.23572,5,LOXL2,RNA-seq,0
CEBPA (ENSG00000245848) [RNA-seq],ACSL3,-0.18529,0.11992,0.0711,-2.60605,-1.54511,10,CEBPA,RNA-seq,0
ACTR1B (ENSG00000115073) [RNA-seq],ACTR1A,0.11631,0.21392,0.03843,3.02654,0.54371,1,ACTR1B,RNA-seq,6
VEZT (55591) [CERES],ACTR1A,0.08817,0.21392,0.03843,2.2943,0.41216,2,VEZT,CERES,6
VEZT (55591) [CERES],PFDN1,-0.1397,0.5899,0.08152999999999999,-1.71348,-0.23682,6,VEZT,CERES,6
VEZT (55591) [CERES],TOE1,0.02468,0.20871,0.08649,0.28535,0.11825,1,VEZT,CERES,6
VRK1 (7443) [CERES],ACTR1A,-0.25727,0.21392,0.03843,-6.69451,-1.20265,3,VRK1,CERES,8
VRK1 (7443) [CERES],CHMP3,-0.06915,0.12548,0.046610000000000006,-1.48359,-0.55108,4,VRK1,CERES,8
